P64   -  -   (21.5, 57.0)    IN:  915     1:SIGN944 —>§58
P91   << ^   (19.0, 55.0)    IN:  523     1:SIGN971 —>§85
P92   -  ^   (19.0, 53.0)    IN:  521     1:SIGN972 —>§86
P94   -  vv  (21.0, 56.0)    IN:  836     1:SIGN976 —>§88
P132  -  -   (13.0, 17.0)    IN:   17     1:M —>§135
P99   -  -   (17.5, 62.0)    IN:50062     1:SIGN984 —>§93
P97   -  ^^  (21.0, 52.0)    IN:  832     1:SIGN981 —>§91
P9    -  vv  (16.5, 57.0)    IN:  369     1:DEVICE_LED_GN —>§3
P10   -  -   (17.0, 62.0)    IN:  452     1:DEVICE_LED_RT —>§4
P121  -  -   (16.5, 61.0)    IN:  373     1:ZOSC —>§115
P62   -  ^^  (17.5, 52.0)    IN:50052     1:SIGN942 —>§56
P131  -  vv  (13.0, 49.0)    IN:   49     1:M —>§125
P22   -  -   (20.5, 72.0)    IN:  774     1:P1V69 —>§16
P15   >> -   (21.0, 54.0)    IN:  834     1:FP_1 —>§9
P93   -  ^^  (21.5, 48.0)    IN:  906     1:SIGN975 —>§87
P119  -  -   (16.0, 54.0)    IN:  288     1:THY_L3_SPGNULL —>§113
P20   -  ^   (20.5, 74.0)    IN:  776     1:P1V61 —>§14
P80   -  v   (21.5, 51.0)    IN:  909     1:SIGN960 —>§74
P54   -  -   (21.5, 55.0)    IN:  913     1:SIGN934 —>§48
P88   << ^^  (21.0, 48.0)    IN:  828     1:SIGN968 —>§82
P76   -  ^^  (19.5, 49.0)    IN:  595     1:SIGN956 —>§70
P65   -  -   (21.5, 46.0)    IN:  904     1:SIGN945 —>§59
P72   -  vv  (21.0, 42.0)    IN:  822     1:SIGN952 —>§66
P78   -  ^   (19.5, 50.0)    IN:  596     1:SIGN958 —>§72
P81   -  v   (21.5, 49.0)    IN:  907     1:SIGN961 —>§75
P66   -  -   (21.0, 46.0)    IN:  826     1:SIGN946 —>§60
P55   -  ^   (21.0, 49.0)    IN:  829     1:SIGN935 —>§49
P75   -  v   (21.5, 43.0)    IN:  901     1:SIGN955 —>§69
P13   -  -   (16.0, 51.0)    IN:  285     1:FP1 —>§7
P14   -  v   (19.0, 61.0)    IN:  529     1:FP3 —>§8
P83   -  v   (21.5, 45.0)    IN:  903     1:SIGN963 —>§77
P87   -  ^   (21.5, 50.0)    IN:  908     1:SIGN967 —>§81
P67   -  -   (21.0, 47.0)    IN:  827     1:SIGN947 —>§61
P59   -  ^^  (19.0, 49.0)    IN:  517     1:SIGN939 —>§53
P85   -  v   (19.0, 50.0)    IN:  518     1:SIGN965 —>§79
P53   >  -   (17.5, 49.0)    IN:50049     1:SIGN933 —>§47
P69   -  -   (16.0, 50.0)    IN:  284     1:SIGN949 —>§63
P90   -  v   (17.0, 51.0)    IN:  441     1:SIGN970 —>§84
P68   -  ^   (21.5, 38.0)    IN:  896     1:SIGN948 —>§62
P60   -  ^^  (16.5, 48.0)    IN:  360     1:SIGN940 —>§54
P89   -  -   (21.5, 41.0)    IN:  899     1:SIGN969 —>§83
P71   -  vv  (17.0, 52.0)    IN:  442     1:SIGN951 —>§65
P8    -  ^   (17.5, 50.0)    IN:50050     1:BYPASS —>§2
P123  >> ^   (21.0, 50.0)    IN:  830     1:SIGN974 —>§117
P52   << ^^  (19.0, 47.0)    IN:  515     1:SIGN932 —>§46
P102  >  -   (19.0, 48.0)    IN:  516     1:SIGN987 —>§96
P117  -  -   (19.5, 48.0)    IN:  594     1:TAKT_SPULE —>§111
P120  -  ^^  (19.5, 44.0)    IN:  590     1:U_START —>§114
P116  >  -   (17.0, 44.0)    IN:  434     1:T_START —>§110
P47   >> -   (21.0, 44.0)    IN:  824     1:SIGN927 —>§41
P46   -  -   (21.5, 44.0)    IN:  902     1:SIGN926 —>§40
P122  -  vv  (21.5, 47.0)    IN:  905     1:SIGN973 —>§116
P107  << ^^  (19.0, 43.0)    IN:  511     1:SIGN992 —>§101
P137  >  ^   (13.0, 49.0)    IN:   49     1:M —>§125
P108  -  vv  (17.5, 43.0)    IN:50043     1:SIGN993 —>§102
P109  -  ^^  (17.0, 41.0)    IN:  431     1:SIGN994 —>§103
P135  >  v   (13.0, 49.0)    IN:   49     1:M —>§125
P12   -  vv  (17.0, 38.0)    IN:  428     1:FAILURE_LED_RT —>§6
P11   -  -   (17.5, 38.0)    IN:50038     1:FAILURE_LED_GN —>§5
P49   >  -   (21.0, 43.0)    IN:  823     1:SIGN929 —>§43
P48   -  v   (21.0, 45.0)    IN:  825     1:SIGN928 —>§42
P100  << ^^  (19.5, 37.0)    IN:  583     1:SIGN985 —>§94
P112  -  vv  (19.5, 41.0)    IN:  587     1:SPG12V —>§106
P110  -  ^^  (19.0, 37.0)    IN:  505     1:SIGN995 —>§104
P95   -  vv  (19.0, 38.0)    IN:  506     1:SIGN978 —>§89
P113  >  -   (21.0, 38.0)    IN:  818     1:STSPGMSG —>§107
P29   -  ^^  (20.5, 14.0)    IN:  716     1:SIGN905 —>§23
P42   >  -   (21.0, 32.0)    IN:  812     1:SIGN921 —>§36
P125  >> v   (20.0,  6.0)    IN:  630     1:SIGN911 —>§119
P124  << ^^  (21.0, 28.0)    IN:  808     1:P12V —>§118
P39   -  -   (21.0, 29.0)    IN:  809     1:SIGN918 —>§33
P134  >  vv  (13.0, 49.0)    IN:   49     1:M —>§125
P104  >> -   (20.0, 10.0)    IN:  634     1:SIGN989 —>§98
P36   -  vv  (21.0, 31.0)    IN:  811     1:SIGN913 —>§30
P33   -  -   (20.0, 13.0)    IN:  637     1:SIGN909 —>§27
P37   -  -   (21.0, 30.0)    IN:  810     1:SIGN914 —>§31
P38   -  -   (21.5, 30.0)    IN:  888     1:SIGN917 —>§32
P17   -  vv  (17.0, 31.0)    IN:  421     1:INPUT —>§11
P41   >  ^   (21.5, 31.0)    IN:  889     1:SIGN920 —>§35
P28   -  ^^  (20.0,  5.0)    IN:  629     1:SIGN904 —>§22
P126  >  vv  (20.0,  8.0)    IN:  632     1:SIGN916 —>§120
P40   -  ^^  (20.5,  5.0)    IN:  707     1:SIGN919 —>§34
P136  << ^^  (13.0, 49.0)    IN:   49     1:M —>§125
P130  -  ^   (13.0, 15.0)    IN:   15     1:SIGN915 —>§124
P30   >  -   (20.5, 13.0)    IN:  715     1:SIGN906 —>§24
P105  >  vv  (21.0, 27.0)    IN:  807     1:SIGN990 —>§99
P106  >  ^^  (20.5,  8.0)    IN:  710     1:SIGN991 —>§100
P103  -  vv  (20.5, 10.0)    IN:  712     1:SIGN988 —>§97
P43   -  ^   (20.0,  9.0)    IN:  633     1:SIGN922 —>§37
P44   -  -   (21.0, 26.0)    IN:  806     1:SIGN923 —>§38
P45   >> ^^  (20.0, 15.0)    IN:  639     1:SIGN924 —>§39
P32   >  v   (20.0,  7.0)    IN:  631     1:SIGN908 —>§26
P31   -  v   (20.0, 12.0)    IN:  636     1:SIGN907 —>§25
P129  << ^^  (13.0, 18.0)    IN:   18     1:SIGN915 —>§123
P111  -  ^   (21.0, 21.0)    IN:  801     1:SIGN996 —>§105
P24   >> -   (19.0, 22.0)    IN:  490     1:SIGN898 —>§18
P25   -  -   (17.0, 22.0)    IN:  412     1:SIGN899 —>§19
P26   -  -   (20.5, 16.0)    IN:  718     1:SIGN900 —>§20
P133  >> ^   (13.0, 13.0)    IN:   13     1:M —>§137
P35   >  vv  (20.5,  6.0)    IN:  708     1:SIGN912 —>§29
P34   -  v   (20.0, 11.0)    IN:  635     1:SIGN910 —>§28
P144  >> vv  (16.0, 57.0)    IN:  291     2:BP_HALTEN —>§138
P239  -  -   (14.0, 61.0)    IN:  139     2:SIGN887 —>§233
P265  -  -   (20.5, 56.0)    IN:  758     2:P3V3 —>§259
P237  -  -   (20.0, 49.0)    IN:  673     2:SIGN885 —>§231
P213  -  vv  (20.0, 71.0)    IN:  695     2:SIGN844 —>§207
P266  -  ^^  (20.5, 57.0)    IN:  759     2:P3V3 —>§260
P202  -  vv  (14.5, 57.0)    IN:  213     2:SIGN833 —>§196
P235  -  ^^  (16.0, 56.0)    IN:  290     2:SIGN883 —>§229
P209  -  vv  (20.0, 70.0)    IN:  694     2:SIGN840 —>§203
P200  -  ^   (20.0, 69.0)    IN:  693     2:SIGN831 —>§194
P225  -  -   (20.5, 64.0)    IN:  766     2:SIGN856 —>§219
P189  -  ^^  (20.5, 53.0)    IN:  755     2:SIGN820 —>§183
P158  -  vv  (20.0, 62.0)    IN:  686     2:P1V65 —>§152
P156  -  v   (20.5, 65.0)    IN:  767     2:L_3 —>§150
P196  -  ^   (20.0, 67.0)    IN:  691     2:SIGN827 —>§190
P160  -  ^   (20.5, 55.0)    IN:  757     2:P12Z —>§154
P195  -  vv  (20.5, 66.0)    IN:  768     2:SIGN826 —>§189
P221  -  ^   (20.0, 52.0)    IN:  676     2:SIGN852 —>§215
P252  -  vv  (20.0, 66.0)    IN:  690     2:T_3 —>§246
P153  -  ^^  (20.5, 49.0)    IN:  751     2:FP_3 —>§147
P184  -  -   (20.5, 68.0)    IN:  770     2:SIGN814 —>§178
P255  -  -   (14.0, 62.0)    IN:  140     2:THY_L1_SPGNULL —>§249
P197  -  v   (20.5, 54.0)    IN:  756     2:SIGN828 —>§191
P223  -  vv  (20.5, 67.0)    IN:  769     2:SIGN854 —>§217
P155  -  v   (20.0, 57.0)    IN:  681     2:L_1 —>§149
P251  -  -   (20.0, 65.0)    IN:  689     2:T_1 —>§245
P212  -  ^^  (20.0, 61.0)    IN:  685     2:SIGN843 —>§206
P218  -  -   (20.0, 50.0)    IN:  674     2:SIGN849 —>§212
P216  -  v   (20.0, 68.0)    IN:  692     2:SIGN847 —>§210
P190  -  ^^  (20.5, 52.0)    IN:  754     2:SIGN821 —>§184
P203  -  -   (20.5, 63.0)    IN:  765     2:SIGN834 —>§197
P230  << ^   (14.0, 55.0)    IN:  133     2:SIGN877 —>§224
P231  -  ^   (14.0, 53.0)    IN:  131     2:SIGN878 —>§225
P233  -  vv  (20.0, 58.0)    IN:  682     2:SIGN881 —>§227
P271  -  -   (13.0, 17.0)    IN:   17     1:M —>§135
P238  -  -   (16.0, 62.0)    IN:  296     2:SIGN886 —>§232
P236  -  ^^  (20.0, 51.0)    IN:  675     2:SIGN884 —>§230
P146  -  vv  (16.5, 55.0)    IN:  367     2:DEVICE_LED_GN —>§140
P147  -  -   (16.0, 61.0)    IN:  295     2:DEVICE_LED_RT —>§141
P258  -  -   (16.5, 54.0)    IN:  366     2:ZOSC —>§252
P201  -  ^^  (14.5, 52.0)    IN:  208     2:SIGN832 —>§195
P269  -  vv  (13.0, 49.0)    IN:   49     1:M —>§125
P159  -  -   (20.0, 54.0)    IN:  678     2:P1V69 —>§153
P152  >> -   (20.5, 50.0)    IN:  752     2:FP_1 —>§146
P232  -  ^^  (20.5, 44.0)    IN:  746     2:SIGN880 —>§226
P256  -  -   (14.5, 61.0)    IN:  217     2:THY_L3_SPGNULL —>§250
P157  -  ^   (20.0, 53.0)    IN:  677     2:P1V61 —>§151
P219  -  v   (20.0, 64.0)    IN:  688     2:SIGN850 —>§213
P193  -  -   (20.0, 63.0)    IN:  687     2:SIGN824 —>§187
P227  << ^^  (20.0, 44.0)    IN:  668     2:SIGN858 —>§221
P215  -  ^^  (14.0, 49.0)    IN:  127     2:SIGN846 —>§209
P204  -  -   (20.0, 41.0)    IN:  665     2:SIGN835 —>§198
P211  -  vv  (20.5, 41.0)    IN:  743     2:SIGN842 —>§205
P217  -  ^   (14.5, 49.0)    IN:  205     2:SIGN848 —>§211
P220  -  v   (20.5, 46.0)    IN:  748     2:SIGN851 —>§214
P205  -  -   (20.0, 47.0)    IN:  671     2:SIGN836 —>§199
P194  -  ^   (20.5, 47.0)    IN:  749     2:SIGN825 —>§188
P151  -  vv  (14.5, 37.0)    IN:  193     2:FP3 —>§145
P214  -  ^   (20.0, 37.0)    IN:  661     2:SIGN845 —>§208
P150  -  -   (14.5, 36.0)    IN:  192     2:FP1 —>§144
P222  -  vv  (20.5, 38.0)    IN:  740     2:SIGN853 —>§216
P226  -  ^   (20.0, 46.0)    IN:  670     2:SIGN857 —>§220
P206  -  -   (20.0, 42.0)    IN:  666     2:SIGN837 —>§200
P198  -  ^^  (14.0, 37.0)    IN:  115     2:SIGN829 —>§192
P224  -  v   (14.0, 63.0)    IN:  141     2:SIGN855 —>§218
P192  >  -   (14.0, 50.0)    IN:  128     2:SIGN823 —>§186
P208  -  -   (14.5, 63.0)    IN:  219     2:SIGN839 —>§202
P229  -  v   (14.0, 51.0)    IN:  129     2:SIGN860 —>§223
P207  -  ^   (21.0, 41.0)    IN:  821     2:SIGN838 —>§201
P199  -  ^^  (14.0, 34.0)    IN:  112     2:SIGN830 —>§193
P228  -  -   (21.5, 42.0)    IN:  900     2:SIGN859 —>§222
P210  -  vv  (14.0, 52.0)    IN:  130     2:SIGN841 —>§204
P145  -  ^   (14.5, 62.0)    IN:  218     2:BYPASS —>§139
P260  >> ^   (20.0, 48.0)    IN:  672     2:SIGN879 —>§254
P191  << ^^  (14.5, 48.0)    IN:  204     2:SIGN822 —>§185
P240  >  -   (14.0, 48.0)    IN:  126     2:SIGN888 —>§234
P254  -  -   (14.0, 38.0)    IN:  116     2:TAKT_SPULE —>§248
P257  -  ^^  (14.0, 36.0)    IN:  114     2:U_START —>§251
P253  >  -   (14.0, 35.0)    IN:  113     2:T_START —>§247
P186  >> -   (20.0, 45.0)    IN:  669     2:SIGN817 —>§180
P185  -  -   (20.5, 45.0)    IN:  747     2:SIGN816 —>§179
P261  -  vv  (20.5, 42.0)    IN:  744     2:SIGN889 —>§255
P241  << ^^  (14.5, 44.0)    IN:  200     2:SIGN890 —>§235
P275  >  ^   (23.0, 50.0)    IN:  986     2:M —>§264
P242  -  vv  (14.5, 43.0)    IN:  199     2:SIGN891 —>§236
P273  >  ^^  (13.0, 49.0)    IN:   49     1:M —>§125
P149  -  vv  (16.0, 38.0)    IN:  272     2:FAILURE_LED_RT —>§143
P148  -  -   (16.5, 38.0)    IN:  350     2:FAILURE_LED_GN —>§142
P188  >  -   (20.0, 43.0)    IN:  667     2:SIGN819 —>§182
P187  -  v   (20.5, 43.0)    IN:  745     2:SIGN818 —>§181
P244  << ^^  (16.0, 37.0)    IN:  271     2:SIGN893 —>§238
P249  -  vv  (14.5, 38.0)    IN:  194     2:SPG12V —>§243
P245  -  ^^  (14.5, 35.0)    IN:  191     2:SIGN894 —>§239
P234  -  vv  (16.0, 41.0)    IN:  275     2:SIGN882 —>§228
P243  -  -   (14.0, 41.0)    IN:  119     2:SIGN892 —>§237
P250  -  -   (20.0, 38.0)    IN:  662     2:STSPGMSG —>§244
P154  <  ^^  (14.0, 33.0)    IN:  111     2:INPUT —>§148
P177  >> -   (20.5, 33.0)    IN:  735     2:SIGN804 —>§171
P176  -  -   (20.0, 21.0)    IN:  645     2:SIGN803 —>§170
P247  -  -   (20.0, 36.0)    IN:  660     2:SIGN896 —>§241
P263  >> -   (20.0, 17.0)    IN:  641     2:SIGN806 —>§257
P262  << ^   (20.0, 32.0)    IN:  656     2:P12V —>§256
P272  -  ^   (13.0, 19.0)    IN:   19     2:M —>§263
P172  -  -   (20.0, 30.0)    IN:  654     2:SIGN799 —>§166
P174  -  v   (20.5, 31.0)    IN:  733     2:SIGN801 —>§168
P173  -  -   (20.5, 30.0)    IN:  732     2:SIGN800 —>§167
P171  -  -   (20.5, 29.0)    IN:  731     2:SIGN798 —>§165
P183  -  ^   (20.0, 28.0)    IN:  652     2:SIGN813 —>§177
P170  -  vv  (20.0, 34.0)    IN:  658     2:SIGN797 —>§164
P169  -  -   (20.0, 35.0)    IN:  659     2:SIGN796 —>§163
P248  >  v   (20.5, 17.0)    IN:  719     2:SIGN897 —>§242
P165  >  ^   (20.0, 31.0)    IN:  655     2:SIGN791 —>§159
P164  -  -   (20.5, 27.0)    IN:  729     2:SIGN790 —>§158
P264  >  v   (20.5, 34.0)    IN:  736     2:SIGN808 —>§258
P167  -  ^^  (20.0, 16.0)    IN:  640     2:SIGN793 —>§161
P161  << ^^  (20.5, 26.0)    IN:  728     2:SIGN786 —>§155
P162  -  vv  (20.0, 27.0)    IN:  651     2:SIGN787 —>§156
P175  >  ^^  (14.0, 25.0)    IN:  103     2:SIGN802 —>§169
P182  -  vv  (20.0, 29.0)    IN:  653     2:SIGN812 —>§176
P179  -  ^^  (14.5, 24.0)    IN:  180     2:SIGN807 —>§173
P168  >> vv  (20.5, 37.0)    IN:  739     2:SIGN794 —>§162
P246  >  ^^  (20.0, 25.0)    IN:  649     2:SIGN895 —>§240
P163  -  v   (20.0, 23.0)    IN:  647     2:SIGN789 —>§157
P166  -  ^   (20.0, 26.0)    IN:  650     2:SIGN792 —>§160
P268  >  -   (13.0, 21.0)    IN:   21     2:SIGN788 —>§262
P180  << ^^  (20.5, 21.0)    IN:  723     2:SIGN810 —>§174
P178  >  vv  (20.5, 18.0)    IN:  720     2:SIGN805 —>§172
P181  >  ^   (20.0, 22.0)    IN:  646     2:SIGN811 —>§175
P270  >> -   (13.0, 49.0)    IN:   49     1:M —>§125
P259  >  vv  (20.0, 18.0)    IN:  642     2:SIGN785 —>§253
P274  -  ^   (13.0, 49.0)    IN:   49     1:M —>§125
P267  >  v   (13.0, 24.0)    IN:   24     2:SIGN788 —>§261
P276  -  ^   (13.0, 49.0)    IN:   49     1:M —>§125
