File Design Information:

Date:       27.02.23
Time:       11:41
Revision:   88a4c57fb80b38f7e82e9b2d41894c1b26e1fcaa
Variant:    No variations
Units used: mm

"Designator,""Comment"",""Layer"",""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Rotation"",""Description"""
"8pins8_C19,""100nF"",""TopLayer"",""0402_CAP"",""159.8000"",""14.7949"",""270"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins8_C18,""100nF"",""TopLayer"",""0402_CAP"",""166.4000"",""14.8949"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins7_C20,""100nF"",""BottomLayer"",""0402_CAP"",""136.1180"",""22.5596"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins7_C19,""100nF"",""TopLayer"",""0402_CAP"",""138.7024"",""14.5650"",""270"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins7_C18,""100nF"",""TopLayer"",""0402_CAP"",""145.2405"",""14.9419"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins6_C20,""100nF"",""BottomLayer"",""0402_CAP"",""114.9890"",""22.5596"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins6_C19,""100nF"",""TopLayer"",""0402_CAP"",""118.1000"",""14.4949"",""270"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins6_C18,""100nF"",""TopLayer"",""0402_CAP"",""124.1138"",""14.9396"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins5_C20,""100nF"",""BottomLayer"",""0402_CAP"",""93.8600"",""22.5596"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins5_C19,""100nF"",""TopLayer"",""0402_CAP"",""96.6000"",""14.4949"",""270"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins5_C18,""100nF"",""TopLayer"",""0402_CAP"",""102.9848"",""14.9396"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins4_C20,""100nF"",""BottomLayer"",""0402_CAP"",""72.7311"",""22.5596"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins4_C19,""100nF"",""TopLayer"",""0402_CAP"",""75.3155"",""14.5650"",""270"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins4_C18,""100nF"",""TopLayer"",""0402_CAP"",""81.8559"",""14.9396"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins3_C20,""100nF"",""BottomLayer"",""0402_CAP"",""51.6021"",""22.5596"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins3_C19,""100nF"",""TopLayer"",""0402_CAP"",""54.5000"",""14.2949"",""270"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins3_C18,""100nF"",""TopLayer"",""0402_CAP"",""60.7269"",""14.9396"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins2_C20,""100nF"",""BottomLayer"",""0402_CAP"",""30.4731"",""22.5596"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins2_C19,""100nF"",""TopLayer"",""0402_CAP"",""33.3000"",""14.4949"",""270"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"8pins2_C18,""100nF"",""TopLayer"",""0402_CAP"",""39.5979"",""14.9396"",""0"",""Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R"""
"D3,""LED"",""TopLayer"",""0603_RED_LED"",""201.7183"",""54.8206"",""270"",""LED RED DIFFUSED 1608 SMD"""
"D1,""LED"",""TopLayer"",""0603_RED_LED"",""208.7220"",""12.2389"",""180"",""LED RED DIFFUSED 1608 SMD"""
"R17,""1k"",""TopLayer"",""0603-_SMD_RESISTOR"",""201.7340"",""58.6602"",""270"",""Resistor"""
"R11,""1k"",""TopLayer"",""0603-_SMD_RESISTOR"",""212.2780"",""12.2389"",""180"",""Resistor"""
"C27,""10uF"",""TopLayer"",""0603_TANTAL"",""207.8183"",""51.8956"",""180"",""CAP TANT POLY 10UF 10V SMD"""
"C21,""10uF"",""TopLayer"",""0603_TANTAL"",""205.9280"",""6.1429"",""90"",""CAP TANT POLY 10UF 10V SMD"""
"C28,""1uF 25V"",""TopLayer"",""0603-CAP"",""206.9683"",""57.8956"",""270"",""General Purpose Ceramic Capacitor, 0603, 1uF, 10%, X5R, 15%, 25V"""
"C22,""1uF 25V"",""TopLayer"",""0603-CAP"",""212.0240"",""7.1589"",""180"",""General Purpose Ceramic Capacitor, 0603, 1uF, 10%, X5R, 15%, 25V"""
"J1,""HARTING 96 PIN 3 rows"",""TopLayer"",""09033966921"",""107.5000"",""56.1749"",""180"",""Connector"""
"P2,""5-146280-2"",""TopLayer"",""2.54MM_HEADER_3X1"",""197.6410"",""57.6656"",""90"",""Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 8.21 mm, Tail Length 3.05 mm, -65 to 105 degC, RoHS, Bulk"""
"P1,""5-146280-2"",""TopLayer"",""2.54MM_HEADER_3X1"",""203.0364"",""4.6189"",""90"",""Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 8.21 mm, Tail Length 3.05 mm, -65 to 105 degC, RoHS, Bulk"""
"D13,""SSA34HE3_A_I"",""TopLayer"",""DIONM5127X229N"",""204.4683"",""56.3956"",""270"",""Schottky Diode"""
"D11,""SSA34HE3_A_I"",""TopLayer"",""DIONM5127X229N"",""210.5000"",""9.4449"",""180"",""Schottky Diode"""
"8pins1_U3,""TMUX1308QDYYRQ1"",""BottomLayer"",""FP-DYY0016A-MFG"",""12.5844"",""19.9378"",""180"",""AUTOMOTIVE, 5-V, 8:1, 1-CHANNEL"""
"8pins10_U3,""TMUX1308QDYYRQ1"",""BottomLayer"",""FP-DYY0016A-MFG"",""202.7497"",""19.9180"",""180"",""AUTOMOTIVE, 5-V, 8:1, 1-CHANNEL"""
"8pins9_U3,""TMUX1308QDYYRQ1"",""BottomLayer"",""FP-DYY0016A-MFG"",""181.6207"",""19.9180"",""180"",""AUTOMOTIVE, 5-V, 8:1, 1-CHANNEL"""
"8pins8_U3,""TMUX1308QDYYRQ1"",""BottomLayer"",""FP-DYY0016A-MFG"",""160.4918"",""19.9180"",""180"",""AUTOMOTIVE, 5-V, 8:1, 1-CHANNEL"""
"8pins7_U3,""TMUX1308QDYYRQ1"",""BottomLayer"",""FP-DYY0016A-MFG"",""139.3628"",""19.9180"",""180"",""AUTOMOTIVE, 5-V, 8:1, 1-CHANNEL"""
"8pins6_U3,""TMUX1308QDYYRQ1"",""BottomLayer"",""FP-DYY0016A-MFG"",""118.2338"",""19.9180"",""180"",""AUTOMOTIVE, 5-V, 8:1, 1-CHANNEL"""
"8pins5_U3,""TMUX1308QDYYRQ1"",""BottomLayer"",""FP-DYY0016A-MFG"",""97.1048"",""19.9180"",""180"",""AUTOMOTIVE, 5-V, 8:1, 1-CHANNEL"""
"8pins4_U3,""TMUX1308QDYYRQ1"",""BottomLayer"",""FP-DYY0016A-MFG"",""75.9759"",""19.9180"",""180"",""AUTOMOTIVE, 5-V, 8:1, 1-CHANNEL"""
"8pins3_U3,""TMUX1308QDYYRQ1"",""BottomLayer"",""FP-DYY0016A-MFG"",""54.8469"",""19.9180"",""180"",""AUTOMOTIVE, 5-V, 8:1, 1-CHANNEL"""
"8pins2_U3,""TMUX1308QDYYRQ1"",""BottomLayer"",""FP-DYY0016A-MFG"",""33.7179"",""19.9180"",""180"",""AUTOMOTIVE, 5-V, 8:1, 1-CHANNEL"""
"R2,""50k"",""TopLayer"",""RESC1005X40X25NL05T05"",""199.7470"",""55.1754"",""270"","""""
"R1,""50k"",""TopLayer"",""RESC1005X40X25NL05T05"",""206.3383"",""1.2012"",""180"","""""
"dTP2_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""11.1091"",""34.7159"",""0"","""""
"dTP2_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""8.9091"",""34.7159"",""180"","""""
"dTP2_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""10.3575"",""27.3900"",""0"","""""
"dTP2_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""8.1591"",""27.3659"",""180"","""""
"R16,""50k"",""TopLayer"",""RESC1005X40X25NL05T05"",""211.0143"",""51.8196"",""0"","""""
"R15,""120k"",""TopLayer"",""RESC1005X40X25NL05T05"",""206.9683"",""54.6456"",""90"","""""
"R10,""50k"",""TopLayer"",""RESC1005X40X25NL05T05"",""205.9280"",""3.3489"",""270"","""""
"R9,""220k"",""TopLayer"",""RESC1005X40X25NL05T05"",""208.4680"",""7.1589"",""0"","""""
"dTP1_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""2.7836"",""35.3872"",""180"","""""
"dTP1_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""5.0337"",""35.3872"",""0"","""""
"dTP1_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""3.5337"",""42.7372"",""180"","""""
"dTP1_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""5.7337"",""42.7372"",""0"","""""
"dTP40_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""211.6433"",""34.6905"",""0"","""""
"dTP40_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""209.4433"",""34.6905"",""180"","""""
"dTP40_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""210.9433"",""27.3405"",""0"","""""
"dTP40_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""208.6933"",""27.3405"",""180"","""""
"dTP39_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""206.5023"",""42.7033"",""0"","""""
"dTP39_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""204.3023"",""42.7033"",""180"","""""
"dTP39_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""205.8023"",""35.3533"",""0"","""""
"dTP39_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""203.5523"",""35.3533"",""180"","""""
"dTP38_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""201.0769"",""34.6905"",""0"","""""
"dTP38_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""198.8769"",""34.6905"",""180"","""""
"dTP38_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""200.3769"",""27.3405"",""0"","""""
"dTP38_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""198.1269"",""27.3405"",""180"","""""
"dTP37_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""195.9359"",""42.7033"",""0"","""""
"dTP37_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""193.7359"",""42.7033"",""180"","""""
"dTP37_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""195.2359"",""35.3533"",""0"","""""
"dTP37_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""192.9859"",""35.3533"",""180"","""""
"dTP36_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""190.5359"",""34.6905"",""0"","""""
"dTP36_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""188.3359"",""34.6905"",""180"","""""
"dTP36_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""189.8359"",""27.3405"",""0"","""""
"dTP36_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""187.5859"",""27.3405"",""180"","""""
"dTP35_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""185.3695"",""42.7033"",""0"","""""
"dTP35_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""183.1695"",""42.7033"",""180"","""""
"dTP35_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""184.6695"",""35.3533"",""0"","""""
"dTP35_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""182.4195"",""35.3533"",""180"","""""
"dTP34_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""179.9695"",""34.6905"",""0"","""""
"dTP34_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""177.7695"",""34.6905"",""180"","""""
"dTP34_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""179.2695"",""27.3405"",""0"","""""
"dTP34_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""177.0195"",""27.3405"",""180"","""""
"dTP33_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""174.8031"",""42.7033"",""0"","""""
"dTP33_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""172.6031"",""42.7033"",""180"","""""
"dTP33_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""174.1031"",""35.3533"",""0"","""""
"dTP33_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""171.8531"",""35.3533"",""180"","""""
"dTP32_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""169.4285"",""34.6905"",""0"","""""
"dTP32_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""167.2285"",""34.6905"",""180"","""""
"dTP32_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""168.7285"",""27.3405"",""0"","""""
"dTP32_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""166.4785"",""27.3405"",""180"","""""
"dTP31_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""164.2367"",""42.7033"",""0"","""""
"dTP31_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""162.0367"",""42.7033"",""180"","""""
"dTP31_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""163.5367"",""35.3533"",""0"","""""
"dTP31_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""161.2867"",""35.3533"",""180"","""""
"dTP30_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""158.8875"",""34.6905"",""0"","""""
"dTP30_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""156.6875"",""34.6905"",""180"","""""
"dTP30_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""158.1875"",""27.3405"",""0"","""""
"dTP30_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""155.9375"",""27.3405"",""180"","""""
"dTP29_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""153.6703"",""42.7033"",""0"","""""
"dTP29_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""151.4703"",""42.7033"",""180"","""""
"dTP29_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""152.9703"",""35.3533"",""0"","""""
"dTP29_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""150.7203"",""35.3533"",""180"","""""
"dTP28_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""148.3211"",""34.6905"",""0"","""""
"dTP28_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""146.1211"",""34.6905"",""180"","""""
"dTP28_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""147.6211"",""27.3405"",""0"","""""
"dTP28_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""145.3711"",""27.3405"",""180"","""""
"dTP27_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""143.1039"",""42.7033"",""0"","""""
"dTP27_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""140.9039"",""42.7033"",""180"","""""
"dTP27_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""142.4039"",""35.3533"",""0"","""""
"dTP27_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""140.1539"",""35.3533"",""180"","""""
"dTP26_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""137.7801"",""34.6905"",""0"","""""
"dTP26_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""135.5801"",""34.6905"",""180"","""""
"dTP26_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""137.0801"",""27.3405"",""0"","""""
"dTP26_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""134.8301"",""27.3405"",""180"","""""
"dTP25_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""132.5375"",""42.7033"",""0"","""""
"dTP25_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""130.3375"",""42.7033"",""180"","""""
"dTP25_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""131.8375"",""35.3533"",""0"","""""
"dTP25_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""129.5875"",""35.3533"",""180"","""""
"dTP24_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""127.2137"",""34.6905"",""0"","""""
"dTP24_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""125.0137"",""34.6905"",""180"","""""
"dTP24_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""126.5137"",""27.3405"",""0"","""""
"dTP24_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""124.2637"",""27.3405"",""180"","""""
"dTP23_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""121.9711"",""42.7033"",""0"","""""
"dTP23_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""119.7711"",""42.7033"",""180"","""""
"dTP23_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""121.2711"",""35.3533"",""0"","""""
"dTP23_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""119.0211"",""35.3533"",""180"","""""
"dTP22_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""116.6727"",""34.6905"",""0"","""""
"dTP22_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""114.4727"",""34.6905"",""180"","""""
"dTP22_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""115.9727"",""27.3405"",""0"","""""
"dTP22_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""113.7227"",""27.3405"",""180"","""""
"dTP21_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""111.4047"",""42.7033"",""0"","""""
"dTP21_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""109.2047"",""42.7033"",""180"","""""
"dTP21_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""110.7047"",""35.3533"",""0"","""""
"dTP21_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""108.4547"",""35.3533"",""180"","""""
"dTP20_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""106.1063"",""34.6905"",""0"","""""
"dTP20_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""103.9063"",""34.6905"",""180"","""""
"dTP20_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""105.4063"",""27.3405"",""0"","""""
"dTP20_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""103.1563"",""27.3405"",""180"","""""
"dTP19_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""100.8383"",""42.7033"",""0"","""""
"dTP19_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""98.6383"",""42.7033"",""180"","""""
"dTP19_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""100.1383"",""35.3533"",""0"","""""
"dTP19_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""97.8883"",""35.3533"",""180"","""""
"dTP18_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""95.5653"",""34.6905"",""0"","""""
"dTP18_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""93.3653"",""34.6905"",""180"","""""
"dTP18_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""94.8653"",""27.3405"",""0"","""""
"dTP18_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""92.6153"",""27.3405"",""180"","""""
"dTP17_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""90.2719"",""42.7033"",""0"","""""
"dTP17_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""88.0719"",""42.7033"",""180"","""""
"dTP17_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""89.5719"",""35.3533"",""0"","""""
"dTP17_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""87.3219"",""35.3533"",""180"","""""
"dTP16_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""85.0243"",""34.6905"",""0"","""""
"dTP16_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""82.8243"",""34.6905"",""180"","""""
"dTP16_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""84.3243"",""27.3405"",""0"","""""
"dTP16_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""82.0743"",""27.3405"",""180"","""""
"dTP15_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""79.7055"",""42.7033"",""0"","""""
"dTP15_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""77.5055"",""42.7033"",""180"","""""
"dTP15_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""79.0055"",""35.3533"",""0"","""""
"dTP15_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""76.7555"",""35.3533"",""180"","""""
"dTP14_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""74.4579"",""34.6905"",""0"","""""
"dTP14_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""72.2579"",""34.6905"",""180"","""""
"dTP14_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""73.7579"",""27.3405"",""0"","""""
"dTP14_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""71.5079"",""27.3405"",""180"","""""
"dTP13_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""69.1391"",""42.7033"",""0"","""""
"dTP13_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""66.9391"",""42.7033"",""180"","""""
"dTP13_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""68.4391"",""35.3533"",""0"","""""
"dTP13_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""66.1891"",""35.3533"",""180"","""""
"dTP12_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""63.9169"",""34.6905"",""0"","""""
"dTP12_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""61.7169"",""34.6905"",""180"","""""
"dTP12_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""63.2169"",""27.3405"",""0"","""""
"dTP12_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""60.9669"",""27.3405"",""180"","""""
"dTP11_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""58.5727"",""42.7033"",""0"","""""
"dTP11_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""56.3727"",""42.7033"",""180"","""""
"dTP11_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""57.8727"",""35.3533"",""0"","""""
"dTP11_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""55.6227"",""35.3533"",""180"","""""
"dTP10_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""53.3505"",""34.6905"",""0"","""""
"dTP10_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""51.1505"",""34.6905"",""180"","""""
"dTP10_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""52.6505"",""27.3405"",""0"","""""
"dTP10_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""50.4005"",""27.3405"",""180"","""""
"dTP9_R8,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""48.0063"",""42.7033"",""0"","""""
"dTP9_R7,""470R 1%"",""TopLayer"",""RESC1005X40X25NL05T05"",""45.8063"",""42.7033"",""180"","""""
"dTP9_R6,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""47.3063"",""35.3533"",""0"","""""
"dTP9_R5,""2k2"",""BottomLayer"",""RESC1005X40X25NL05T05"",""45.0563"",""35.3533"",""180"","""""
